trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
0	0	0	0	4	3	1	1	1.0	1	2012	4	1	7	10.0	56	1	1	2	778	0.218055556	0.09222222199999999	0.134444444	0.0	0.016666667	0.0	0	0.052222222	1.5	0.14	0.0	0.111702
1	0	0	1	4	3	1	1	1.0	1	2012	4	1	7	13.0	56	1	1	2	778	0.18888888899999998	0.061944444	0.109444444	0.0	0.055555556	0.0	0	0.059444444000000006	1.5	0.15	0.0	0.11215
2	0	0	2	4	3	1	1	1.0	1	2012	4	1	7	17.0	56	1	1	2	4562	1.037777778	0.355833333	0.20305555600000003	0.0	0.210277778	0.0	0	0.236666667	1.5	0.79	0.0	0.203052
3	0	0	3	4	3	1	1	1.0	1	2012	4	1	7	17.35	56	1	1	2	4562	1.0394444440000001	0.384444444	0.20555555600000003	0.0	0.258611111	0.0	0	0.233333333	1.5	0.78	0.0	0.16071400000000002
4	0	1	2	4	3	1	4	1.0	1	2012	4	1	7	19.58333333	54	0	1	2	4562	1.037777778	0.355833333	0.20305555600000003	0.0	0.189444444	0.0	0	0.229166667	1.5	0.78	0.0	0.130909
5	0	1	3	4	3	1	4	1.0	1	2012	4	1	7	19.93333333	54	0	1	2	4562	1.0394444440000001	0.384444444	0.20555555600000003	0.0	0.22111111100000003	0.0	0	0.222222222	1.5	0.77	0.0	0.0975
6	0	2	0	4	3	1	3	0.0	1	2012	4	1	7	10.0	14	1	0	2	778	0.218055556	0.09222222199999999	0.134444444	0.0	0.016666667	0.0	0	0.052222222	0.0	0.14	0.0	0.111702
7	0	2	1	4	3	1	3	0.0	1	2012	4	1	7	13.0	14	1	0	2	778	0.18888888899999998	0.061944444	0.109444444	0.0	0.055555556	0.0	0	0.059444444000000006	0.0	0.15	0.0	0.11215
8	0	2	2	4	3	1	3	0.0	1	2012	4	1	7	17.0	14	1	0	2	4562	1.037777778	0.355833333	0.20305555600000003	0.0	0.210277778	0.0	0	0.236666667	0.0	0.79	0.0	0.203052
9	0	2	3	4	3	1	3	0.0	1	2012	4	1	7	19.91666667	14	1	0	2	4562	1.0394444440000001	0.384444444	0.20555555600000003	0.0	0.22111111100000003	0.0	0	0.222222222	0.0	0.77	0.0	0.0975
10	1	0	0	4	3	1	5	0.0	1	2012	4	1	7	12.75	79	1	1	2	3379	0.833888889	0.242222222	0.209166667	0.0	0.123611111	0.0	0	0.14138888900000002	0.0	0.51	0.0	0.0903733
11	1	0	1	4	3	1	5	0.0	1	2012	4	1	7	17.66666667	79	1	1	2	3379	0.844722222	0.240277778	0.241388889	0.0	0.12222222199999999	0.0	0	0.132222222	0.0	0.5	0.0	0.06512609999999999
12	1	1	0	4	3	1	5	0.0	1	2012	4	1	7	12.75	80	0	1	2	3379	0.833888889	0.242222222	0.209166667	0.0	0.123611111	0.0	0	0.14138888900000002	0.0	0.51	0.0	0.0903733
13	1	1	1	4	3	1	5	0.0	1	2012	4	1	7	17.66666667	80	0	1	2	3379	0.844722222	0.240277778	0.241388889	0.0	0.12222222199999999	0.0	0	0.132222222	0.0	0.5	0.0	0.06512609999999999
14	2	1	0	4	3	1	1	1.0	1	2012	4	1	7	13.0	41	0	1	1	8051	2.109444444	0.715	0.2575	0.0	0.8738888890000001	0.089444444	1	0.5083333329999999	3.0	1.59	0.0	0.356831
15	2	1	1	4	5	1	1	1.0	1	2012	4	1	7	15.0	41	0	1	1	8560	2.130555556	0.7583333329999999	0.074444444	0.066666667	0.650277778	0.339444444	2	0.448055556	4.5	1.48	0.0	0.34036
16	2	1	2	4	3	1	1	1.0	1	2012	4	1	7	16.66666667	41	0	1	1	715	0.20972222199999999	0.066111111	0.098611111	0.0	0.058333333	0.0	0	0.058611110999999994	1.5	0.16	0.0	0.123223
17	3	1	1	3	1	6	1	1.0	1	2012	4	1	7	21.5	32	1	0	0	1901	0.512222222	0.141666667	0.123888889	0.0	0.208055556	0.091666667	1	0.11555555599999999	3.0	0.33	0.0	0.033653800000000005
18	4	0	0	3	3	6	5	0.0	1	2012	4	1	7	8.916666667000001	71	1	0	0	2714	0.7625	0.231666667	0.171388889	0.0	0.334444444	0.0	0	0.19638888899999998	0.0	0.53	0.0	0.035360699999999995
19	4	0	1	3	3	6	5	0.0	1	2012	4	1	7	11.5	71	1	0	0	2714	0.752222222	0.1975	0.2225	0.0	0.312222222	0.0	0	0.22166666699999998	0.0	0.56	0.0	0.0864662
20	5	1	0	4	3	1	5	0.0	1	2012	4	1	7	4.0	64	1	1	1	2199	0.598333333	0.18333333300000001	0.381666667	0.0	0.062222222	0.0	0	0.11722222199999999	0.0	0.41	0.0	0.09715639999999999
21	5	1	1	4	3	1	5	0.0	1	2012	4	1	7	14.5	64	1	1	1	2199	0.603055556	0.20472222199999998	0.08388888900000001	0.0	0.29361111100000004	0.0	0	0.16777777800000002	0.0	0.46	0.0	0.243377
22	6	0	0	3	3	6	1	1.0	1	2012	4	1	7	20.0	54	0	1	0	1170	0.342222222	0.127222222	0.109166667	0.0	0.133333333	0.0	0	0.093888889	1.5	0.23	0.0	0.20414200000000002
23	6	0	1	1	5	6	1	1.0	1	2012	4	1	7	22.71666667	54	0	1	0	699	0.178888889	0.065277778	0.050555555999999995	0.0	0.041666667000000004	0.0	0	0.056388889000000005	1.5	0.12	0.0	0.172414
24	6	0	2	3	3	6	1	1.0	1	2012	4	1	7	23.0	54	0	1	0	1134	0.26916666699999997	0.07777777799999999	0.0275	0.0	0.083333333	0.0	0	0.073055556	1.5	0.21	0.0	0.129278
25	7	0	0	1	3	2	1	1.0	1	2012	4	1	7	7.5	49	1	1	1	472	0.165	0.06277777799999999	0.120833333	0.0	0.016666667	0.0	0	0.049166667000000004	1.5	0.1	0.0	0.0960452
26	7	0	2	1	3	2	1	1.0	1	2012	4	1	7	14.0	49	1	1	1	444	0.152222222	0.050833333	0.068333333	0.0	0.033888889	0.0	0	0.055277778	1.5	0.1	0.0	0.105528
27	7	1	0	4	4	2	1	1.0	1	2012	4	1	7	7.0	51	0	1	1	15995	3.7825	1.100277778	0.19388888899999998	0.5166666670000001	0.0	0.1	1	0.34083333299999996	1.5	2.04	0.0	0.280359
28	8	1	0	3	3	1	1	1.0	1	2012	4	1	7	11.0	49	1	0	1	7871	1.775833333	0.490277778	0.12666666699999998	0.0	0.423333333	0.0	0	0.418055556	1.5	1.2	0.0	0.242525
29	8	1	2	3	3	1	1	1.0	1	2012	4	1	7	12.5	49	1	0	1	7648	1.675277778	0.471111111	0.053611110999999996	0.0	0.433888889	0.0	0	0.467777778	1.5	1.23	0.0	0.397862
30	8	1	3	1	3	1	1	1.0	1	2012	4	1	7	16.0	49	1	0	1	765	0.259444444	0.09222222199999999	0.09888888900000001	0.0	0.04444444400000001	0.0	0	0.0875	1.5	0.2	0.0	0.292064
31	8	1	5	1	3	1	1	1.0	1	2012	4	1	7	17.08333333	49	1	0	1	521	0.173888889	0.054722222	0.10111111099999999	0.0	0.038055556000000004	0.0	0	0.055	1.5	0.14	0.0	0.07575760000000001
32	8	2	0	1	3	1	1	1.0	1	2012	4	1	7	13.0	24	0	0	1	554	0.180277778	0.0625	0.10138888900000001	0.0	0.020833333	0.0	0	0.060555555999999996	1.5	0.14	0.0	0.169725
33	8	2	1	4	5	1	1	1.0	1	2012	4	1	7	19.5	24	0	0	1	2863	0.669444444	0.18916666699999998	0.18111111100000002	0.0	0.21666666699999998	0.0	0	0.210277778	1.5	0.6	0.0	0.257596
34	8	2	2	4	3	1	1	1.0	1	2012	4	1	7	22.0	24	0	0	1	2311	0.567777778	0.147777778	0.17694444399999998	0.0	0.146388889	0.0	0	0.1425	1.5	0.43	0.0	0.261209
35	9	0	0	4	3	1	1	1.0	1	2012	4	1	7	13.0	50	0	1	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	1.5	0.48	0.0	0.37897600000000004
36	9	0	1	4	3	1	1	1.0	1	2012	4	1	7	14.5	50	0	1	2	1828	0.469722222	0.138333333	0.194722222	0.0	0.107777778	0.0	0	0.207777778	1.5	0.49	0.0	0.46791400000000005
37	9	1	0	4	3	1	3	0.0	1	2012	4	1	7	13.0	11	1	0	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	0.0	0.48	0.0	0.37897600000000004
38	9	1	1	4	3	1	3	0.0	1	2012	4	1	7	14.5	11	1	0	2	1828	0.469722222	0.138333333	0.194722222	0.0	0.107777778	0.0	0	0.207777778	0.0	0.49	0.0	0.46791400000000005
39	9	2	0	4	3	1	5	0.0	1	2012	4	1	7	13.0	10	1	0	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	0.0	0.48	0.0	0.37897600000000004
40	9	2	1	4	3	1	5	0.0	1	2012	4	1	7	14.5	10	1	0	2	1828	0.469722222	0.138333333	0.194722222	0.0	0.107777778	0.0	0	0.207777778	0.0	0.49	0.0	0.46791400000000005
41	9	3	0	4	3	1	5	0.0	1	2012	4	1	7	13.0	9	1	0	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	0.0	0.48	0.0	0.37897600000000004
42	9	3	1	4	3	1	5	0.0	1	2012	4	1	7	14.5	9	1	0	2	1828	0.469722222	0.138333333	0.194722222	0.0	0.107777778	0.0	0	0.207777778	0.0	0.49	0.0	0.46791400000000005
43	10	0	0	3	3	6	1	1.0	1	2012	4	1	7	11.5	21	1	0	0	3020	0.6769444440000001	0.21111111100000002	0.072777778	0.0	0.344722222	0.120555556	1	0.16777777800000002	3.0	0.44	0.0	0.145695
44	10	0	2	3	3	6	1	1.0	1	2012	4	1	7	16.5	21	1	0	0	3143	0.6972222220000001	0.213888889	0.26388888899999996	0.0	0.18888888899999998	0.0	0	0.195277778	1.5	0.51	0.0	0.352774
45	11	0	1	1	3	6	5	0.0	1	2012	4	1	7	8.616666667	78	1	0	0	534	0.133888889	0.03	0.064166667	0.0	0.019166667	0.0	0	0.0375	0.0	0.1	0.0	0.0444444
46	12	0	0	4	3	1	5	0.0	1	2012	4	1	7	10.75	64	0	1	1	1443	0.334722222	0.114722222	0.136388889	0.0	0.070277778	0.0	0	0.072222222	0.0	0.24	0.0	0.10769200000000001
47	12	0	1	4	5	1	5	0.0	1	2012	4	1	7	11.16666667	64	0	1	1	7835	1.823611111	0.554444444	0.082222222	0.0	0.5475	0.133333333	1	0.355555556	0.0	1.28	0.0	0.302344
48	12	0	2	4	5	1	5	0.0	1	2012	4	1	7	11.41666667	64	0	1	1	7703	1.8147222219999999	0.615555556	0.0625	0.0	0.491944444	0.094722222	1	0.355555556	0.0	1.35	0.0	0.249219
49	12	0	3	4	3	1	5	0.0	1	2012	4	1	7	11.75	64	0	1	1	1274	0.297777778	0.097222222	0.0825	0.0	0.061944444	0.0	0	0.0625	0.0	0.2	0.0	0.124444
50	12	1	0	4	3	2	1	1.0	1	2012	4	1	7	10.75	56	1	1	1	1443	0.334722222	0.114722222	0.136388889	0.0	0.070277778	0.0	0	0.072222222	1.5	0.21	0.0	0.10769200000000001
51	12	1	1	4	5	2	1	1.0	1	2012	4	1	7	11.16666667	56	1	1	1	7835	1.823611111	0.554444444	0.082222222	0.0	0.5475	0.133333333	1	0.355555556	3.0	1.12	0.0	0.302344
52	12	1	2	4	5	2	1	1.0	1	2012	4	1	7	11.41666667	56	1	1	1	7703	1.8147222219999999	0.615555556	0.0625	0.0	0.491944444	0.094722222	1	0.355555556	3.0	1.19	0.0	0.249219
53	12	1	3	4	3	2	1	1.0	1	2012	4	1	7	11.75	56	1	1	1	1274	0.297777778	0.097222222	0.0825	0.0	0.061944444	0.0	0	0.0625	1.5	0.17	0.0	0.124444
54	12	2	0	4	3	1	1	1.0	1	2012	4	1	7	19.0	38	1	1	1	424	0.109166667	0.053888889	0.064166667	0.0	0.0175	0.0	0	0.032222222	1.5	0.11	0.0	0.103448
55	12	2	1	4	3	1	1	1.0	1	2012	4	1	7	19.3	38	1	1	1	424	0.113055556	0.031666667	0.069166667	0.0	0.007777778000000001	0.0	0	0.017222222	1.5	0.07	0.0	0.16129000000000002
56	12	3	0	4	3	2	3	0.0	1	2012	4	1	7	19.0	12	1	0	1	424	0.109166667	0.053888889	0.064166667	0.0	0.0175	0.0	0	0.032222222	0.0	0.09	0.0	0.103448
57	12	3	1	4	3	2	3	0.0	1	2012	4	1	7	19.3	12	1	0	1	424	0.113055556	0.031666667	0.069166667	0.0	0.007777778000000001	0.0	0	0.017222222	0.0	0.06	0.0	0.16129000000000002
58	13	0	0	3	3	1	1	1.0	1	2012	4	1	7	12.5	54	1	0	1	2419	0.6625	0.2325	0.130555556	0.11666666699999999	0.0	0.0	0	0.193611111	1.5	0.57	0.0	0.395983
59	13	0	2	3	3	1	1	1.0	1	2012	4	1	7	14.5	54	1	0	1	2395	0.6083333329999999	0.23055555600000002	0.049166667000000004	0.083333333	0.0	0.0	0	0.23305555600000002	1.5	0.61	0.0	0.38140599999999997
60	13	0	3	3	3	1	1	1.0	1	2012	4	1	7	17.33333333	54	1	0	1	3355	0.921388889	0.28861111100000003	0.0125	0.15	0.225	0.15	1	0.251388889	3.9	0.7	0.0	0.24198899999999998
61	13	0	4	4	3	1	1	1.0	1	2012	4	1	7	21.66666667	54	1	0	1	3355	0.876944444	0.240833333	0.0325	0.0	0.391666667	0.0	0	0.2125	1.5	0.67	0.0	0.203922
62	13	1	0	4	3	1	5	0.0	1	2012	4	1	7	9.583333332999999	64	0	1	1	12645	2.920277778	0.924722222	0.014722222	0.11666666699999999	0.517222222	0.316111111	3	0.556111111	0.0	1.95	0.0	0.43706300000000003
63	13	1	1	4	3	1	5	0.0	1	2012	4	1	7	12.0	64	0	1	1	12645	2.921111111	0.9186111109999999	0.011666667	0.083333333	0.661666667	0.205	2	0.693888889	0.0	2.08	0.0	0.6249
64	13	1	2	3	3	1	5	0.0	1	2012	4	1	7	14.0	64	0	1	1	14386	3.354722222	1.0169444440000002	0.029166667	0.45	0.18333333300000001	0.233333333	2	0.926666667	0.0	2.47	0.0	0.5602520000000001
65	13	1	3	3	5	1	5	0.0	1	2012	4	1	7	18.0	64	0	1	1	14470	3.3388888889999997	1.082222222	0.050833333	0.21666666699999998	0.590555556	0.237777778	2	0.863888889	0.0	2.6	0.0	0.675884
66	13	1	5	4	5	1	5	0.0	1	2012	4	1	7	21.66666667	64	0	1	1	1463	0.346111111	0.10027777800000001	0.060833332999999996	0.0	0.096666667	0.0	0	0.091388889	0.0	0.25	0.0	0.44376899999999997
67	13	1	6	4	3	1	5	0.0	1	2012	4	1	7	22.08333333	64	0	1	1	3355	0.876944444	0.240833333	0.0325	0.0	0.391666667	0.0	0	0.20694444399999998	0.0	0.67	0.0	0.15973199999999999
68	13	2	0	3	3	1	1	1.0	1	2012	4	1	7	8.5	19	0	0	1	12835	3.001388889	0.96	0.03	0.666666667	0.353888889	0.166666667	2	0.514166667	4.3	1.96	0.0	0.321448
69	13	2	1	4	3	1	1	1.0	1	2012	4	1	7	12.0	19	0	0	1	12835	2.996944444	0.9725	0.029444444	0.083333333	0.735833333	0.39805555600000003	3	0.716944444	6.0	2.16	0.0	0.58272
70	13	2	2	3	3	1	1	1.0	1	2012	4	1	7	15.0	19	0	0	1	3371	0.842777778	0.3125	0.15833333300000002	0.15	0.0	0.0	0	0.2425	2.4	0.72	0.0	0.382589
71	13	2	3	3	3	1	1	1.0	1	2012	4	1	7	21.5	19	0	0	1	3371	0.8075	0.262222222	0.162222222	0.133333333	0.0	0.0	0	0.213333333	2.4	0.61	0.0	0.261719
72	14	0	0	4	3	1	5	0.0	1	2012	4	1	7	11.0	65	1	1	2	404	0.14472222199999998	0.050277777999999995	0.043055555999999995	0.0	0.038888888999999996	0.0	0	0.037777778	0.0	0.11	0.0	0.24264699999999997
73	14	0	2	4	3	1	5	0.0	1	2012	4	1	7	13.0	65	1	1	2	446	0.20277777800000002	0.090833333	0.07777777799999999	0.0	0.036388889	0.0	0	0.061388889	0.0	0.16	0.0	0.221719
74	14	0	3	4	3	1	5	0.0	1	2012	4	1	7	18.0	65	1	1	2	792	0.23	0.067222222	0.136388889	0.0	0.033888889	0.0	0	0.067777778	0.0	0.2	0.0	0.15163900000000002
75	14	0	4	4	3	1	5	0.0	1	2012	4	1	7	22.5	65	1	1	2	792	0.258333333	0.110555556	0.161944444	0.0	0.027222222	0.0	0	0.072222222	0.0	0.2	0.0	0.0846154
76	15	0	0	1	3	6	1	1.0	1	2012	4	1	7	11.0	40	0	1	0	1596	0.39805555600000003	0.1375	0.18861111100000003	0.0	0.074722222	0.0	0	0.142777778	1.5	0.33	0.0	0.342412
77	15	0	1	1	5	6	1	1.0	1	2012	4	1	7	11.5	40	0	1	0	1193	0.28	0.146666667	0.095	0.0	0.099444444	0.0	0	0.140833333	1.5	0.33	0.0	0.36686399999999997
78	15	0	2	1	3	6	1	1.0	1	2012	4	1	7	12.41666667	40	0	1	0	551	0.18583333300000002	0.068055556	0.106111111	0.0	0.020277778	0.0	0	0.067222222	1.5	0.13	0.0	0.260331
79	16	0	0	3	3	6	5	0.0	1	2012	4	1	7	10.0	74	0	1	0	14278	3.400277778	1.2005555559999999	0.251944444	0.35	0.5083333329999999	0.1	1	0.855833333	0.0	2.29	0.0	0.431029
80	16	0	1	3	5	6	5	0.0	1	2012	4	1	7	12.75	74	0	1	0	11777	2.858333333	0.860833333	0.276666667	0.45	0.0	0.2	2	0.8158333329999999	0.0	2.02	0.0	0.60572
81	16	0	2	3	3	6	5	0.0	1	2012	4	1	7	14.0	74	0	1	0	2702	0.664444444	0.22638888899999998	0.115	0.0	0.20222222199999998	0.0	0	0.180833333	0.0	0.46	0.0	0.373272
82	16	0	3	4	3	6	5	0.0	1	2012	4	1	7	21.0	74	0	1	0	2702	0.642777778	0.206111111	0.132222222	0.0	0.15	0.0	0	0.17694444399999998	0.0	0.47	0.0	0.230769
83	16	0	4	4	3	6	5	0.0	1	2012	4	1	7	21.75	74	0	1	0	2702	0.664444444	0.22638888899999998	0.115	0.0	0.142777778	0.0	0	0.153055556	0.0	0.43	0.0	0.217786
84	17	1	0	4	3	1	5	0.0	1	2012	4	1	7	9.75	70	0	1	1	3306	0.933333333	0.280833333	0.123888889	0.0	0.49166666700000006	0.0	0	0.163333333	0.0	0.52	0.0	0.10374100000000001
