OBSID	ID	SCENARIO	CHOICE	GENDER	A20	A2130	A3140	A4150	A5160	A61	RESIDENT	OINT	DINT	ODINT	AVEH3	AVEH2	INCM	INCH	AT1	AT2	AT3	TD1	TD2	TD3	FEE1	FEE2	FEE3	LI	MI	HI
1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
2	1	2	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
3	1	3	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
4	1	4	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
5	1	5	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
6	1	6	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
7	1	7	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
8	1	8	1	1	0	1	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
9	3	1	3	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
10	3	2	3	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
11	3	3	3	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
12	3	4	3	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
13	3	5	2	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
14	3	6	2	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
15	3	7	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
16	3	8	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
17	4	1	3	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
18	4	2	3	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
19	4	3	3	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
20	4	4	3	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
21	4	5	2	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
22	4	6	2	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
23	4	7	1	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
24	4	8	1	0	0	0	1	0	0	0	1	1	1	1	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
25	5	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
26	5	2	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
27	5	3	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
28	5	4	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
29	5	5	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
30	5	6	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
31	5	7	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
32	5	8	1	0	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
33	6	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.6	0.8	1	0	0
